meal_id,name,ingredients,description,category,price,order_id,user_id
0,Kumpir,"Patates, Peynir, Mısır, Sosis, Mayonez","Patates pişirilir, içine peynir, mısır, sosis eklenir ve üzerine mayonez sürülerek servis edilir.",Potato Dish,10.99,214,2
0,Kumpir,"Patates, Peynir, Mısır, Sosis, Mayonez","Patates pişirilir, içine peynir, mısır, sosis eklenir ve üzerine mayonez sürülerek servis edilir.",Potato Dish,10.99,221,2
0,Kumpir,"Patates, Peynir, Mısır, Sosis, Mayonez","Patates pişirilir, içine peynir, mısır, sosis eklenir ve üzerine mayonez sürülerek servis edilir.",Potato Dish,10.99,248,2
0,Kumpir,"Patates, Peynir, Mısır, Sosis, Mayonez","Patates pişirilir, içine peynir, mısır, sosis eklenir ve üzerine mayonez sürülerek servis edilir.",Potato Dish,10.99,284,2
1,İskender,"Döner Kebap, Yoğurt, Tereyağı, Domates Sosu, Ekmek","Döner et, yoğurt ve tereyağı ile soslanan ekmek üzerine konularak servis edilir.",Kebab,15.5,249,2
2,Adana Kebap,"Dana Kıyması, Biber Salçası, Baharatlar, Soğan, Sumak",Baharatlarla harmanlanmış dana kıyması şişe dizilir ve mangalda pişirilir.,Kebab,18.75,217,2
2,Adana Kebap,"Dana Kıyması, Biber Salçası, Baharatlar, Soğan, Sumak",Baharatlarla harmanlanmış dana kıyması şişe dizilir ve mangalda pişirilir.,Kebab,18.75,235,2
2,Adana Kebap,"Dana Kıyması, Biber Salçası, Baharatlar, Soğan, Sumak",Baharatlarla harmanlanmış dana kıyması şişe dizilir ve mangalda pişirilir.,Kebab,18.75,269,2
3,Lahmacun,"Kıyma, Soğan, Domates, Biber, Baharatlar","Kıyma ve baharatlarla hazırlanan harç, ince hamurun üzerine sürülerek fırında pişirilir.",Turkish Pizza,8.99,251,2
3,Lahmacun,"Kıyma, Soğan, Domates, Biber, Baharatlar","Kıyma ve baharatlarla hazırlanan harç, ince hamurun üzerine sürülerek fırında pişirilir.",Turkish Pizza,8.99,254,2
3,Lahmacun,"Kıyma, Soğan, Domates, Biber, Baharatlar","Kıyma ve baharatlarla hazırlanan harç, ince hamurun üzerine sürülerek fırında pişirilir.",Turkish Pizza,8.99,291,2
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99,224,2
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99,240,2
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99,257,2
4,Hünkar Beğendi,"Kuzu Etı, Beyaz Un, Süt, Yoğurt, Beyaz Peynir","Kuzu eti haşlanarak rendelenmiş beyaz peynir, yoğurt ve süt karışımının üzerine eklenir.",Meat Dish,25.99,294,2
6,Baklava,"Yufka, Ceviz, Şeker, Su, Tereyağı","Yufka katları arasına ceviz içi konularak hazırlanan baklava, fırında pişirildikten sonra şekerli şerbetle buluşturulur.",Dessert,9.99,241,2
6,Baklava,"Yufka, Ceviz, Şeker, Su, Tereyağı","Yufka katları arasına ceviz içi konularak hazırlanan baklava, fırında pişirildikten sonra şekerli şerbetle buluşturulur.",Dessert,9.99,245,2
6,Baklava,"Yufka, Ceviz, Şeker, Su, Tereyağı","Yufka katları arasına ceviz içi konularak hazırlanan baklava, fırında pişirildikten sonra şekerli şerbetle buluşturulur.",Dessert,9.99,270,2
